精度(dps),行列サイズ,反復回数,計算時間(秒),相対誤差
30,500,320,50.329461097717285,1.1106450684075643e-15
30,600,371,78.02789878845215,1.3048557102953865e-15
30,700,422,120.61686897277832,1.4694130013259501e-15
30,800,471,181.22065711021423,1.8593408582746983e-15
30,900,519,251.61313700675964,2.6919642866605136e-15
30,1000,568,359.631404876709,3.0324169442569587e-15
50,500,232,33.91785717010498,8.981465525672388e-16
50,600,262,55.24989080429077,1.9536614699261106e-15
50,700,295,90.14068412780762,2.4263064378171777e-15
50,800,326,126.56934595108032,3.171589007283845e-15
50,900,362,185.4492208957672,3.127119489174131e-15
50,1000,388,237.0105390548706,3.8748783168878166e-15
100,500,164,23.981745958328247,1.0278931448043134e-15
100,600,187,39.364246129989624,1.522509736431144e-15
100,700,206,61.25863289833069,2.0977157285126742e-15
100,800,225,88.77976489067078,3.1267199507896388e-15
100,900,242,122.2011489868164,3.4710302825939923e-15
100,1000,261,165.69401288032532,4.486008302286749e-15
200,500,136,20.502358198165894,1.2083034092499831e-15
200,600,150,34.08881402015686,1.86393014495349e-15
200,700,164,51.65259504318237,2.7088127241735702e-15
200,800,178,71.61412572860718,2.736516472060641e-15
200,900,189,97.42211198806763,4.623798184074505e-15
200,1000,203,131.7460811138153,4.319662070334971e-15
500,500,126,20.96529269218445,1.2198991706407388e-15
500,600,137,35.03951406478882,1.8965683157083212e-15
500,700,147,60.21019411087036,2.7695493355279356e-15
500,800,158,93.2329261302948,2.8274311529461206e-15
500,900,167,118.38355374336243,3.3137605016443695e-15
500,1000,176,150.76894426345825,4.518029186013478e-15
